batch-16-acum-1,batch-16-acum-2,batch-4-acum-1,batch-32-acum-1,batch-4-acum-4,batch-8-acum-1,batch-2-acum-1,batch-2-acum-8
7.217099,7.669584,7.671348,7.460898,7.577754,7.609036,7.468095,7.594507
7.264275,7.645277,7.66527,7.430118,7.639106,7.504212,7.540862,7.657049
7.229632,7.663183,7.640645,7.43541,7.59147,7.526426,7.618774,7.611478
7.226218,7.632494,7.67012,7.403886,7.601261,7.465091,7.544223,7.62534
7.201993,7.613313,7.555372,7.378839,7.599178,7.516757,7.337271,7.616214
7.193465,7.590827,7.504323,7.35384,7.580844,7.492721,7.514194,7.603557
7.16468,7.597154,7.624838,7.355075,7.562257,7.482903,7.489118,7.584989
7.152365,7.574115,7.522036,7.324663,7.563902,7.471902,7.371025,7.582426
7.084085,7.563367,7.540441,7.307373,7.506123,7.413743,7.360251,7.527592
7.060612,7.54028,7.546803,7.269651,7.478314,7.456542,7.512177,7.499813
7.085896,7.521461,7.51581,7.261935,7.513725,7.458752,7.464852,7.540616
7.096994,7.516672,7.530368,7.249857,7.527972,7.474341,7.426641,7.552455
7.052721,7.518492,7.46593,7.244847,7.497062,7.458681,7.24086,7.534235
7.036157,7.484918,7.477653,7.206696,7.478266,7.433878,7.393748,7.501657
7.028746,7.469159,7.567653,7.180621,7.47573,7.388107,7.26036,7.499821
6.954939,7.491764,7.450861,7.204896,7.409422,7.411802,7.310717,7.437698
6.971245,7.425804,7.45175,7.131531,7.434883,7.328011,7.487176,7.458805
6.996761,7.432374,7.43997,7.151008,7.468179,7.420567,7.266247,7.493286
6.952178,7.369936,7.318788,7.068194,7.412732,7.337271,7.146133,7.438654
6.873143,7.411807,7.453633,7.140851,7.362391,7.333196,7.225548,7.390758
6.901101,7.394228,7.423088,7.105408,7.394843,7.282399,7.272557,7.42121
6.93248,7.367302,7.441734,7.087995,7.417421,7.257413,7.35923,7.446403
6.894453,7.355942,7.4546,7.077074,7.394815,7.238777,7.070459,7.423848
6.92677,7.334237,7.324328,7.02848,7.425241,7.231308,7.25495,7.454681
6.863561,7.346189,7.348493,7.05512,7.376082,7.176226,7.328991,7.408696
6.786939,7.308245,7.379958,7.007089,7.313865,7.092612,7.240355,7.337933
6.761314,7.317157,7.328512,7.02004,7.277022,7.252342,7.139677,7.312651
6.828304,7.271389,7.360129,6.971311,7.329137,7.232481,7.215307,7.359784
